Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
2.370565181013807035e+02,5.294686309374909570e+02,-4.038051452636718608e+01,9.950331000704420656e-03,9.950331000704420656e-03,3.333334997296333486e-03,-1.719962597084759182e+00,3.015152577972003201e+00,-2.980068969726566763e+00,9.900520044805495579e-05,9.900520044805495579e-05,3.333352506160701390e-05
2.353365555042959443e+02,5.324837835154629602e+02,-4.336058349609375284e+01,1.004933620115247561e-02,1.004933620115247561e-02,3.366668522357940500e-03,-1.331099811173572789e+00,3.209886617768233918e+00,-2.699488830566409092e+00,9.899466185375044303e-05,9.899466185375044303e-05,3.333315253257768812e-05
2.340054556931223715e+02,5.356936701332311941e+02,-4.606007232666016193e+01,1.014833086300622605e-02,1.014833086300622605e-02,3.400001674890518188e-03,-1.231719052192204344e+00,3.204395019611752105e+00,-2.582470703124997158e+00,9.898560034264820839e-05,9.898560034264820839e-05,3.333352506160744758e-05
2.327737366409301671e+02,5.388980651528429462e+02,-4.864254302978515909e+01,1.024731646334887426e-02,1.024731646334887426e-02,3.433335199952125636e-03,-1.364903154286309928e+00,3.197322462280794753e+00,-2.493811035156248579e+00,9.897580316356457963e-05,9.897580316356457963e-05,3.333315253257725444e-05
2.314088334866438572e+02,5.420953876151237409e+02,-5.113635406494140767e+01,1.034629226651243884e-02,1.034629226651243884e-02,3.466668352484702890e-03,-1.192263151174273617e+00,3.270327369081996949e+00,-2.337945556640626421e+00,9.896527060702063616e-05,9.896527060702063616e-05,3.333352506160744758e-05
2.302165703354695836e+02,5.453657149842057379e+02,-5.347429962158203409e+01,1.044525753711945948e-02,1.044525753711945948e-02,3.500001877546310338e-03,-1.211624948794366219e+00,3.331610289631271371e+00,-2.257734680175779829e+00,9.895621469486678978e-05,9.895621469486678978e-05,3.333315253257768812e-05
2.290049453866752174e+02,5.486973252738370093e+02,-5.573203430175781392e+01,1.054421375181432627e-02,1.054421375181432627e-02,3.533335030078888026e-03,-1.187119922432060548e+00,3.377809534113225709e+00,-2.221012878417973013e+00,9.894642333112789456e-05,9.894642333112789456e-05,3.333352506160744758e-05
2.278178254642431568e+02,5.520751348079502350e+02,-5.795304718017578693e+01,1.064316017514545416e-02,1.064316017514545416e-02,3.566668555140495474e-03,-1.736710362522586593e+00,3.113132201388111753e+00,-2.696803283691401987e+00,9.893663390527981938e-05,9.893663390527981938e-05,3.333315253257725444e-05
2.260811151017205702e+02,5.551882670093383467e+02,-6.064985046386718892e+01,1.074209680905073398e-02,1.074209680905073398e-02,3.600001707673072728e-03,-1.462343582845591072e+00,3.320606190492753740e+00,-2.318704223632806816e+00,9.892610939141351090e-05,9.892610939141351090e-05,3.333352506160744758e-05
2.246187715188749792e+02,5.585088731998311005e+02,-6.296855468749999574e+01,1.084102291844214749e-02,1.084102291844214749e-02,3.633335232734680176e-03,-8.296267566780954894e-01,3.602782626403950417e+00,-1.914138793945319605e+00,9.891706093608822192e-05,9.891706093608822192e-05,3.333315253257768812e-05
